Ref_publication_date,Ref_journal,Cell_stack_sequence,Cell_area_measured,ETL_deposition_procedure,Perovskite_deposition_procedure,HTL_deposition_procedure
16/05/2019,Journal of Power Sources,SLG | FTO | PCBM-60 | BCP | Perovskite | NiO-np | Ag,6.75,Meniscus coating | Evaporation,Meniscus coating,Spin-coating
27/02/2019,Solar Energy,SLG | FTO | TiO2-c | TiO2-mp | ZrO2-mp | Perovskite | Cu:NiO-np | Carbon,7,Screen printing | Screen printing | Screen printing,Drop-infiltration,Screen printing
27/02/2019,Solar Energy,SLG | FTO | TiO2-c | TiO2-mp | ZrO2-mp | Perovskite | Carbon,7,Screen printing | Screen printing | Screen printing,Drop-infiltration,Unknown
15/04/2019,Energy & Environmental Science,SLG | FTO | TiO2-c | SnO2-c | Perovskite | Spiro-MeOTAD | Au,0.1,Spray-pyrolys | Spin-coating,Spin-coating | Spin-coating,Spin-coating
20/11/2018,Journal of Materials Chemistry C,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,10,Spray-pyrolys | Spin-coating,Spin-coating,Spin-coating
24/07/2019,ACS Energy Letters,SLG | FTO | TiO2-c | Perovskite | Carbon,22.4,RF sputtering,Spin-coating,Unknown
17/08/2018,Science Advances,SLG | ITO | PTAA | PFN | Perovskite | PCBM-60 | PFN | Cu-CFNs,0.1,Spin-coating | Spin-coating,Spin-coating,Spin-coating | Spin-coating
17/08/2018,Science Advances,SLG | ITO | PTAA | PFN | Perovskite | PCBM-60 | PFN | Cu-CFNs,0.1,Spin-coating | Spin-coating,Spin-coating,Spin-coating | Spin-coating
17/08/2018,Science Advances,SLG | ITO | PTAA | PFN | Perovskite | PCBM-60 | PFN | Ag,0.37,Spin-coating | Spin-coating,Spin-coating,Spin-coating | Spin-coating
17/08/2018,Science Advances,SLG | ITO | PTAA | PFN | Perovskite | PCBM-60 | PFN | Ag,0.37,Spin-coating | Spin-coating,Spin-coating,Spin-coating | Spin-coating
17/08/2018,Science Advances,SLG | ITO | PTAA | PFN | Perovskite | PCBM-60 | PFN | Ag,0.37,Spin-coating | Spin-coating,Spin-coating,Spin-coating | Spin-coating
18/05/2018,Solar Energy Materials and Solar Cells,SLG | FTO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,12.5,Spin-coating,Spin-coating,Doctor blading
18/05/2018,Solar Energy Materials and Solar Cells,SLG | FTO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,12.5,Spin-coating,Spin-coating,Doctor blading
29/10/2019,Solar RRL,SLG | ITO | PEDOT:PSS | Perovskite | C60 | BCP | Ag,0.1,Evaporation | Evaporation,Spin-coating,Spin-coating
29/10/2019,Solar RRL,SLG | ITO | PEDOT:PSS | Perovskite | C60 | BCP | Ag,0.1,Evaporation | Evaporation,Spin-coating,Spin-coating
29/10/2019,Solar RRL,SLG | ITO | PEDOT:PSS | Perovskite | C60 | BCP | Ag,0.1,Evaporation | Evaporation,Spin-coating,Spin-coating
29/10/2019,Solar RRL,SLG | ITO | PEDOT:PSS | Perovskite | C60 | BCP | Ag,0.1,Evaporation | Evaporation,Spin-coating,Spin-coating
29/10/2019,Solar RRL,SLG | ITO | PEDOT:PSS | Perovskite | C60 | BCP | Ag,0.1,Evaporation | Evaporation,Spin-coating,Spin-coating
29/10/2019,Solar RRL,SLG | ITO | PEDOT:PSS | Perovskite | C60 | BCP | Ag,2.8,Evaporation | Evaporation,Spin-coating,Spin-coating
29/10/2019,Solar RRL,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | MoO3 | Ag,2.8,Unknown,Spin-coating,Spin-coating
26/03/2019,Electrochimica Acta,SLG | FTO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,20.78,CBD,Spin-coating,Spin-coating
10/04/2018,ACS Applied Materials & Interfaces,PET | ITO | SnO2-np | Perovskite | Spiro-MeOTAD | Au,10,Spin-coating,Spin-coating,Spin-coating
06/06/2018,Solar Energy,SLG | ITO | NiO | Perovskite | PCBM-60 | BCP | Ag,13.5,Spin-coating | Spin-coating,Spin-coating,Spin-coating
06/06/2018,Solar Energy,SLG | ITO | NiO | Perovskite | PCBM-60 | BCP | Ag,13.5,Spin-coating | Spin-coating,Spin-coating,Spin-coating
24/04/2020,Journal of Materials Chemistry A,SLG | FTO | ZnO-c | TiO2-mp | Perovskite | 18-crown-6 ether | Spiro-MeOTAD | Au,8,Spray-pyrolys | Spin-coating >> Dipp-coating,Spin-coating,Spin-coating | Spin-coating
24/04/2020,Journal of Materials Chemistry A,SLG | FTO | ZnO-c | TiO2-mp | Perovskite | 18-crown-6 ether | Spiro-MeOTAD | Au,8,Spray-pyrolys | Spin-coating >> Dipp-coating,Doctor blading,Spin-coating | Spin-coating
11/08/2020,ACS Energy Letters,SLG | ITO | PTAA | Perovskite | C60 | BCP | Cu,6.8,Evaporation | Evaporation,Slot-die coating,Doctor blading
31/08/2021,Advanced Materials Interfaces,SLG | FTO | TiO2-c | SnO2-c | Perovskite | Spiro-MeOTAD | Au,0.09,Spray-pyrolys | Spin-coating,Slot-die coating >> Slot-die coating,Spin-coating
31/08/2021,Advanced Materials Interfaces,SLG | FTO | TiO2-c | SnO2-c | Perovskite | Spiro-MeOTAD | Au,0.09,Spray-pyrolys | Spin-coating,Slot-die coating >> Slot-die coating,Spin-coating
29/07/2022,Nature Communications,SLG | FTO | TiO2-SnO2 | Perovskite | Spiro-MeOTAD | Au,14,Spray-pyrolys | Spin-coating,Doctor blading,Unknown
