Ref_ID,ETL_stack_sequence,ETL_thickness,ETL_deposition_procedure
8672,PCBM-60 | BCP,,Spin-coating | Evaporation
8673,PCBM-60 | BCP,,Spin-coating | Evaporation
8674,TiO2-c | TiO2-mp,30.0 | 150.0,Spray-pyrolys | Spin-coating
8675,TiO2-c | TiO2-mp,30.0 | 150.0,Spray-pyrolys | Spin-coating
8676,TiO2-c | TiO2-mp,30.0 | 150.0,Spray-pyrolys | Spin-coating
8677,TiO2-c | TiO2-mp,30.0 | 150.0,Spray-pyrolys | Spin-coating
8678,TiO2-c | TiO2-mp,30.0 | 150.0,Spray-pyrolys | Spin-coating
8679,TiO2-c | TiO2-mp,30.0 | 150.0,Spray-pyrolys | Spin-coating
8680,SnO2-np,,Spin-coating
8681,SnO2-np,,Spin-coating
8682,PCBM-60,,Spin-coating
8683,PCBM-60,,Spin-coating
8684,TiO2-c,50,Spray-pyrolys
8685,TiO2-c,50,Spray-pyrolys
8686,TiO2-c,50,Spray-pyrolys
8687,TiO2-c,50,Spray-pyrolys
8688,TiO2-c,50,Spray-pyrolys
8689,TiO2-c,50,Spray-pyrolys
8690,TiO2-c,50,Spray-pyrolys
8691,ZnO-c | ZnO-nw,,Spin-coating | Hydrothermal
8692,ZnO-nw,,Spin-coating | Hydrothermal
8693,ZnO-nw,,Spin-coating | Hydrothermal
8694,ZnO-nw,,Spin-coating | Hydrothermal
8695,ZnO-nw,,Spin-coating | Hydrothermal
8696,ZnO-nw,,Spin-coating | Hydrothermal
8697,ZnO-nw,,Spin-coating | Hydrothermal
8698,ZnO-nw,,Spin-coating | Hydrothermal
8699,ZnO-nw,,Spin-coating | Hydrothermal
8700,TiO2-c,,CBD
8701,TiO2-c,,CBD
8702,TiO2-c | SnO2,,Spin-coating | Spin-coating
8703,TiO2-c | SnO2,,Spin-coating | Spin-coating
8704,TiO2-c | SnO2,,Spin-coating | Spin-coating
8705,TiO2-c | SnO2,,Spin-coating | Spin-coating
8706,PCBM-60,,Spin-coating
8707,PCBM-60,,Spin-coating
8708,PCBM-60,,Spin-coating
8709,PCBM-60,,Spin-coating
8710,PCBM-60,,Spin-coating
8711,PCBM-60,,Spin-coating
8712,PCBM-60,,Spin-coating
8713,PCBM-60,,Spin-coating
8714,PCBM-60,,Spin-coating
8715,PCBM-60,,Spin-coating
8716,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
8717,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
8718,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
8719,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
8720,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
8721,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
8722,PCBM-60,100,Spin-coating
8723,PCBM-60 | LiF,100.0 | 1.0,Spin-coating | Evaporation
8724,PCBM-60 | LiF,100.0 | 5.0,Spin-coating | Evaporation
8725,PCBM-60 | C60 | LiF,100.0 | 15.0 | 1.0,Spin-coating | Evaporation | Evaporation
8726,PCBM-60 | C60 | LiF,100.0 | 15.0 | 5.0,Spin-coating | Evaporation | Evaporation
8727,PCBM-60,100,Spin-coating
8728,TiO2-c,300,ALD
8729,TiO2-c,300,ALD
8730,TiO2-c,300,ALD
8731,TiO2-c,300,ALD
8732,TiO2-c,300,ALD
8733,TiO2-c,300,ALD
8734,TiO2-c,300,ALD
8735,TiO2-c,300,ALD
8736,TiO2-c,300,ALD
8737,TiO2-c,300,ALD
8738,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8739,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8740,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8741,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8742,TiO2-c,60,Spin-coating
8743,TiO2-c,60,Spin-coating
8744,TiO2-c,60,Spin-coating
8745,TiO2-c,60,Spin-coating
8746,PCBM-60,,Spin-coating
8747,PCBM-60,,Spin-coating
8748,PCBM-60,,Spin-coating
8749,PCBM-60,,Spin-coating
8750,PCBM-60,,Spin-coating
8751,TiO2-c | TiO2-mp,30.0 | 150.0,Spin-coating | Spin-coating
8752,TiO2-c | TiO2-mp,30.0 | 150.0,Spin-coating | Spin-coating
8753,TiO2-c | TiO2-mp,30.0 | 150.0,Spin-coating | Spin-coating
8754,TiO2-c | TiO2-mp,30.0 | 150.0,Spin-coating | Spin-coating
8755,TiO2-c,50,Spin-coating
8756,TiO2-c,,Spin-coating
8757,TiO2-c,,Spin-coating
8758,TiO2-c | TiO2-mp,nan | 500.0,Spray-pyrolys | Spin-coating
8759,TiO2-c | TiO2-mp,nan | 500.0,Spray-pyrolys | Spin-coating
8760,TiO2-c | TiO2-mp,nan | 500.0,Spray-pyrolys | Spin-coating
8761,TiO2-c | TiO2-mp,nan | 500.0,Spray-pyrolys | Spin-coating
8762,TiO2-c | TiO2-mp,nan | 500.0,Spray-pyrolys | Spin-coating
8763,TiO2-c | TiO2-mp,nan | 500.0,Spray-pyrolys | Spin-coating
8764,TiO2-c | TiO2-mp,nan | 500.0,Spray-pyrolys | Spin-coating
8765,TiO2-c,500,Spin-coating
8766,TiO2-c,30,Spin-coating
8767,TiO2-c,30,Spin-coating
8768,TiO2-c,30,Spin-coating
8769,TiO2-c,30,Spin-coating
8770,TiO2-c,30,Spin-coating
8771,TiO2-c,30,Spin-coating
8772,TiO2-c,30,Spin-coating
8773,TiO2-c,30,Spin-coating
8774,TiO2-c,30,Spin-coating
8775,TiO2-c,30,Spin-coating
8776,SnO2-np,,Spin-coating
8777,SnO2-np,,Spin-coating
8778,SnO2-np,,Spin-coating
8779,SnO2-np,,Spin-coating
8780,TiO2-c,,Spray-pyrolys
8781,TiO2-c,,Spray-pyrolys
8782,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
8783,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
8784,TiO2-nw,,Hydrothermal
8785,SnO2-np,50,Spin-coating
8786,SnO2-np,50,Spin-coating
8787,SnO2-np,50,Spin-coating
8788,SnO2-np,50,Spin-coating
8789,SnO2-np,50,Spin-coating
8790,SnO2-np,50,Spin-coating
8791,SnO2-np,50,Spin-coating
8792,SnO2-np,50,Spin-coating
8793,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8794,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8795,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8796,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8797,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8798,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8799,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8800,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8801,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8802,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8803,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8804,PCBM-60 | BCP,40.0 | 6.0,Spin-coating | Evaporation
8805,ZnO,,Sputtering
8806,ZnO,,Sputtering
8807,ZnO,,Sputtering
8808,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8809,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8810,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8811,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8812,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8813,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8814,TiO2-c,40,Spin-coating
8815,TiO2-c,40,Spin-coating
8816,TiO2-c,40,Spray-pyrolys
8817,TiO2-c,40,Spin-coating
8818,TiO2-c,40,Spray-pyrolys
8819,TiO2-c,20,ALD
8820,PCBM-60 | BCP,,Spin-coating | Spin-coating
8821,PCBM-60 | BCP,,Spin-coating | Spin-coating
8822,PCBM-60 | BCP,,Spin-coating | Spin-coating
8823,PCBM-60 | BCP,,Spin-coating | Spin-coating
8824,PCBM-60 | BCP,,Spin-coating | Spin-coating
8825,PCBM-60 | BCP,,Spin-coating | Spin-coating
8826,PCBM-60 | BCP,,Spin-coating | Spin-coating
8827,FPDI,50,Evaporation
8828,FPDI,50,Evaporation
8829,FPDI,50,Evaporation
8830,FPDI,50,Evaporation
8831,TiO2-c,40,Spin-coating
8832,TiO2-c,40,Spin-coating
8833,TiO2-c,40,Spin-coating
8834,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
8835,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
8836,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
8837,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
8838,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8839,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8840,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8841,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8842,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8843,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8844,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8845,PCBM-60 | BCP,nan | 2.0,Spin-coating | Evaporation
8846,TiO2-c | TiO2-np,17.0 | 350.0,ALD | Spin-coating
8847,TiO2-c | TiO2-np,17.0 | 350.0,ALD | Spin-coating
8848,TiO2-c | TiO2-np,17.0 | 350.0,ALD | Spin-coating
8849,TiO2-c,42,Spin-coating
8850,TiO2-c,62,Spin-coating
8851,TiO2-c,75,Spin-coating
8852,TiO2-c,75,Spin-coating
8853,TiO2-c,100,Spin-coating
8854,TiO2-c,170,Spin-coating
8855,TiO2-c | TiO2-mp,nan | nan,Sputtering | Spin-coating
8856,TiO2-c | TiO2-mp,nan | nan,Sputtering | Spin-coating
8857,TiO2-c | TiO2-mp,nan | nan,Sputtering | Spin-coating
8858,TiO2-c | TiO2-mp,nan | nan,Sputtering | Spin-coating
8859,TiO2-c | TiO2-mp,nan | 350.0,Spin-coating | Spin-coating
8860,TiO2-c | TiO2-mp,nan | 350.0,Spin-coating | Spin-coating
8861,TiO2-c | TiO2-mp,nan | 350.0,Spin-coating | Spin-coating
8862,TiO2-c | TiO2-mp,nan | 350.0,Spin-coating | Spin-coating
8863,TiO2-c | TiO2-mp,nan | 350.0,Spin-coating | Spin-coating
8864,TiO2-c | TiO2-mp,nan | 350.0,Spin-coating | Spin-coating
8865,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
8866,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
8867,TiO2-c | TiO2-mp,20.0 | 150.0,Spin-coating | Spin-coating
8868,TiO2-c | TiO2-mp,20.0 | 150.0,Spin-coating | Spin-coating
8869,TiO2-c | TiO2-mp,20.0 | 150.0,Spin-coating | Spin-coating
8870,TiO2-c | TiO2-mp,20.0 | 150.0,Spin-coating | Spin-coating
8871,PCBM-70,40,Spin-coating
8872,PCBM-70,40,Spin-coating
8873,PCBM-70,40,Spin-coating
8874,PCBM-70,40,Spin-coating
8875,FDA | PCBM-70,40.0 | nan,Spin-coating | Spin-coating
8876,SnO2-c,,Spin-coating
8877,SnO2-c,,Spin-coating
8878,SnO2-c,,Spin-coating
8879,SnO2-c,,Spin-coating
8880,SnO2-c,,Spin-coating
8881,TiO2-c | TiO2-mp,50.0 | 250.0,Spray-pyrolys | Spin-coating
8882,TiO2-c | TiO2-mp,50.0 | 250.0,Spray-pyrolys | Spin-coating
8883,TiO2-c | TiO2-mp | ZrO2-mp,nan | 500.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
8884,TiO2-c | TiO2-mp | ZrO2-mp,nan | 500.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
8885,TiO2-c | TiO2-mp | ZrO2-mp,nan | 500.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
8886,TiO2-c | TiO2-mp | ZrO2-mp,nan | 500.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
8887,TiO2-c | TiO2-mp | ZrO2-mp,nan | 500.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
8888,TiO2-c | TiO2-mp | ZrO2-mp,nan | 500.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
8889,TiO2-c | TiO2-mp | ZrO2-mp,nan | 500.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
8890,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8891,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8892,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8893,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8894,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8895,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8896,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8897,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8898,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8899,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8900,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8901,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8902,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8903,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8904,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
8905,PCBM-60 | PFN,50.0 | nan,Spin-coating | Spin-coating
8906,TiO2-c,35,Spin-coating
8907,TiO2-c,35,Spin-coating
8908,TiO2-c,35,Spin-coating
8909,TiO2-c,35,Spin-coating
8910,TiO2-c,35,Spin-coating
8911,TiO2-c,35,Spin-coating
8912,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8913,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8914,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8915,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8916,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8917,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8918,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8919,TiO2-c | TiO2-mp,nan | nan,Spray-pyrolys | Doctor blading
8920,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8921,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8922,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8923,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8924,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8925,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8926,TiO2-c | TiO2-mp | Al2O3-mp,50.0 | 1000.0 | 1000.0,Spray-pyrolys | Spin-coating | Spin-coating
8927,TiO2-c | TiO2-mp | Al2O3-mp,50.0 | 1000.0 | 1000.0,Spray-pyrolys | Spin-coating | Spin-coating
8928,TiO2-c | TiO2-mp | Al2O3-mp,50.0 | 1000.0 | 1000.0,Spray-pyrolys | Spin-coating | Spin-coating
8929,TiO2-c | TiO2-mp | Al2O3-mp,50.0 | 1000.0 | 1000.0,Spray-pyrolys | Spin-coating | Spin-coating
8930,TiO2-c | TiO2-mp | Al2O3-mp,50.0 | 1000.0 | 1000.0,Spray-pyrolys | Spin-coating | Spin-coating
8931,TiO2-c | TiO2-mp | Al2O3-mp,50.0 | 1000.0 | 1000.0,Spray-pyrolys | Spin-coating | Spin-coating
8932,PCBM-60 | bis-C60,,Spin-coating | Spin-coating
8933,PCBM-60 | bis-C60,,Spin-coating | Spin-coating
8934,PCBM-60 | bis-C60,,Spin-coating | Spin-coating
8935,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8936,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8937,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8938,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8939,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8940,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8941,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8942,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8943,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
8944,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8945,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8946,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8947,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8948,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8949,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8950,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8951,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8952,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8953,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8954,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8955,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8956,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8957,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8958,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8959,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8960,TiO2-c,,Spin-coating
8961,TiO2-c,,Spin-coating
8962,TiO2-c,,Spin-coating
8963,TiO2-c,,Spin-coating
8964,TiO2-c,,Spin-coating
8965,Nb2O5,,Sputtering
8966,Nb2O5,,Sputtering
8967,Nb2O5,,Sputtering
8968,Nb2O5,,Sputtering
8969,TiO2-c,,Spin-coating
8970,TiO2-c,,Spin-coating
8971,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8972,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8973,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8974,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8975,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8976,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8977,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8978,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8979,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8980,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8981,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8982,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8983,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8984,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8985,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8986,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
8987,PCBM-60,,Spin-coating
8988,PCBM-60 | BCP,,Spin-coating | Evaporation
8989,PCBM-60 | BCP,,Spin-coating | Evaporation
8990,TiO2-c,50,Spray-pyrolys
8991,TiO2-c,50,Spray-pyrolys
8992,TiO2-c,50,Spray-pyrolys
8993,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
8994,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
8995,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
8996,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
8997,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
8998,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
8999,TiO2-c | Zn2Ti3O8-mp,,Spin-coating | Spin-coating
9000,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9001,TiO2-c,50,Sputtering
9002,TiO2-c | DMF,50.0 | nan,Sputtering | Dipp-coating
9003,TiO2-c | PCBM-60,50.0 | nan,Sputtering | Dipp-coating
9004,TiO2-c | TiO2-mp,,CBD | Spin-coating
9005,TiO2-c | TiO2-mp,,CBD | Spin-coating
9006,TiO2-c | TiO2-mp,,CBD | Spin-coating
9007,C60 | BCP,30.0 | 10.0,Spin-coating | Evaporation
9008,C60 | BCP,30.0 | 10.0,Spin-coating | Evaporation
9009,C60 | BCP,30.0 | 10.0,Spin-coating | Evaporation
9010,C60 | BCP,30.0 | 10.0,Spin-coating | Evaporation
9011,C60 | BCP,30.0 | 10.0,Spin-coating | Evaporation
9012,C60 | BCP,30.0 | 10.0,Spin-coating | Evaporation
9013,C60 | BCP,30.0 | 10.0,Spin-coating | Evaporation
9014,TiO2-c,,Spin-coating
9015,TiO2-c,,Spin-coating
9016,TiO2-c,,Spin-coating
9017,TiO2-c,,Spin-coating
9018,TiO2-c,,Spin-coating
9019,none,,Unknown
9020,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9021,BCP,,Spin-coating
9022,BCP,,Spin-coating
9023,BCP,,Spin-coating
9024,BCP,,Spin-coating
9025,BCP,,Spin-coating
9026,BCP,,Spin-coating
9027,BCP,,Spin-coating
9028,BCP,,Spin-coating
9029,BCP,,Spin-coating
9030,BCP,,Spin-coating
9031,TiO2-c | TiO2-mp,35.0 | nan,Spin-coating | Spin-coating
9032,TiO2-c | TiO2-mp,35.0 | nan,Spin-coating | Spin-coating
9033,TiO2-c | TiO2-mp,35.0 | nan,Spin-coating | Spin-coating
9034,TiO2-c | TiO2-mp,35.0 | nan,Spin-coating | Spin-coating
9035,TiO2-c | TiO2-mp,35.0 | nan,Spin-coating | Spin-coating
9036,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9037,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9038,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9039,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9040,C60 | B4PyMPM,,Spin-coating | Evaporation
9041,C60 | B4PyMPM,,Spin-coating | Evaporation
9042,C60 | B4PyMPM,,Spin-coating | Evaporation
9043,C60 | B4PyMPM,,Spin-coating | Evaporation
9044,TiO2-mp,,Spin-coating
9045,TiO2-mp | Pbs-QDs,,Spin-coating | SILAR
9046,TiO2-mp | Pbs-QDs,,Spin-coating | SILAR
9047,TiO2-mp | Pbs-QDs,,Spin-coating | SILAR
9048,TiO2-mp | Pbs-QDs,,Spin-coating | SILAR
9049,TiO2-mp | Pbs-QDs,,Spin-coating | SILAR
9050,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9051,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9052,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9053,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9054,PCBM-60 | Bphen,,Spin-coating | Spin-coating
9055,DBP | PCBM-60 | Bphen,,Spin-coating | Spin-coating | Spin-coating
9056,DBP | PCBM-60 | Bphen,,Spin-coating | Spin-coating | Spin-coating
9057,DBP | PCBM-60 | Bphen,,Spin-coating | Spin-coating | Spin-coating
9058,DBP | PCBM-60 | Bphen,,Spin-coating | Spin-coating | Spin-coating
9059,DBP | PCBM-60 | Bphen,,Spin-coating | Spin-coating | Spin-coating
9060,DBP | PCBM-60 | Bphen,,Spin-coating | Spin-coating | Spin-coating
9061,DBP | PCBM-60 | Bphen,,Spin-coating | Spin-coating | Spin-coating
9062,TiO2-c,,Spin-coating
9063,TiO2-c,,Spin-coating
9064,TiO2-c,,Spin-coating
9065,TiO2-c,,Spin-coating
9066,TiO2-c,,Spin-coating
9067,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9068,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9069,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9070,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9071,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9072,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9073,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9074,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9075,PCBM-60 | BCP,nan | 8.0,Spin-coating | Evaporation
9076,PCBM-60 | BCP,nan | 8.0,Spin-coating | Evaporation
9077,PCBM-60 | BCP,nan | 8.0,Spin-coating | Evaporation
9078,PCBM-60 | BCP,nan | 8.0,Spin-coating | Evaporation
9079,SnO2-c,,Spin-coating
9080,TiO2-c,,Spin-coating
9081,Unknown,,Unknown
9082,SnO2-c,,Spin-coating
9083,SnO2-c,,Spin-coating
9084,SnO2-c,,Spin-coating
9085,SnO2-c,,Spin-coating
9086,SnO2-c,,Spin-coating
9087,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9088,TiO2-c | TiO2-mp,,Spin-coating | Dropcasting
9089,TiO2-c | TiO2-mp,,Spin-coating | Dropcasting
9090,TiO2-c,,Spin-coating
9091,PCBM-60,,Spin-coating
9092,PCBM-60 | Ppz,,Spin-coating | Spin-coating
9093,TiO2-c,,ALD
9094,TiO2-c,,Spin-coating
9095,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
9096,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
9097,TiO2-c,,CBD
9098,TiO2-c,,CBD
9099,TiO2-c,,CBD
9100,TiO2-c,,CBD
9101,TiO2-c,,CBD
9102,TiO2-c,,CBD
9103,PCBM-60 | BCP,,Spin-coating | Spin-coating
9104,PCBM-60 | BCP,,Spin-coating | Spin-coating
9105,SnO2-np,30,Spin-coating
9106,TiO2-c,,CBD
9107,TiO2-c,,CBD
9108,TiO2-c,,CBD
9109,TiO2-c,,CBD
9110,TiO2-c,,CBD
9111,TiO2-c,,CBD
9112,TiO2-c,,CBD
9113,TiO2-c,,CBD
9114,TiO2-c,,CBD
9115,TiO2-c,,CBD
9116,PCBM-60 | BCP,,Spin-coating | Spin-coating
9117,PCBM-60 | BCP,,Spin-coating | Spin-coating
9118,BCP; PCBM-60,,Spin-coating
9119,BCP; PCBM-60,,Spin-coating
9120,BCP; PCBM-60,,Spin-coating
9121,BCP; PCBM-60,,Spin-coating
9122,BCP; PCBM-60,,Spin-coating
9123,BCP; PCBM-60,,Spin-coating
9124,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9125,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9126,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9127,PCBM-60 | BCP,60.0 | 5.0,Spin-coating | Spin-coating
9128,PCBM-60 | BCP,60.0 | 5.0,Spin-coating | Spin-coating
9129,PCBM-60 | BCP,60.0 | 5.0,Spin-coating | Spin-coating
9130,PCBM-60,,Spin-coating
9131,PCBM-60 | DMAPA-C60,,Spin-coating | Spin-coating
9132,TiO2-c | TiO2-mp,50.0 | nan,Spin-coating | Spin-coating
9133,TiO2-c | TiO2-mp,50.0 | nan,Spin-coating | Spin-coating
9134,TiO2-c | TiO2-mp,50.0 | nan,Spin-coating | Spin-coating
9135,TiO2-c | TiO2-mp,50.0 | nan,Spin-coating | Spin-coating
9136,TiO2-c | TiO2-mp,50.0 | nan,Spin-coating | Spin-coating
9137,TiO2-c | TiO2-mp,50.0 | nan,Spin-coating | Spin-coating
9138,TiO2-c,,Spin-coating
9139,TiO2-c,,Spin-coating
9140,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
9141,PCBM-60,,Spin-coating
9142,PCBM-60,,Spin-coating
